"","run_id","stress","stable","block_no","block","trial_no","b1","b2","b3","b4","resp","advantageous","switch"
"4388",9,"no","no","b00","4",38,26,4,32,62,1,0,0
"4389",9,"no","no","b00","4",39,30,10,42,80,1,0,0
"4390",9,"no","no","b00","4",40,8,-20,41,74,1,0,0
"4391",9,"no","no","b00","4",41,9,-7,65,80,2,0,1
"4392",9,"no","no","b00","4",42,13,-7,60,70,3,0,1
"4393",9,"no","no","b00","4",43,8,-11,49,77,3,0,0
"4394",9,"no","no","b00","4",44,10,-30,41,77,3,0,0
"4395",9,"no","no","b00","4",45,29,-39,33,77,3,0,0
"4396",9,"no","no","b00","4",46,42,-46,25,70,3,0,0
"4397",9,"no","no","b00","4",47,29,-72,23,53,3,0,0
"4398",9,"no","no","b00","4",48,50,-66,3,75,3,0,0
"4399",9,"no","no","b00","4",49,78,-76,18,62,1,1,1
"4400",9,"no","no","b00","4",50,74,-70,32,52,1,1,0
"4401",215,"yes","yes","b12","1",1,-15,-28,36,8,1,0,NA
"4402",215,"yes","yes","b12","1",2,-9,-31,32,6,4,0,1
"4403",215,"yes","yes","b12","1",3,-8,-36,28,5,2,0,1
"4404",215,"yes","yes","b12","1",4,-10,-47,29,19,3,1,1
"4405",215,"yes","yes","b12","1",5,-18,-42,19,14,3,1,0
"4406",215,"yes","yes","b12","1",6,-19,-47,21,6,3,1,0
"4407",215,"yes","yes","b12","1",7,-16,-33,12,6,3,1,0
"4408",215,"yes","yes","b12","1",8,-16,-40,24,9,4,0,1
"4409",215,"yes","yes","b12","1",9,-12,-44,10,4,3,1,1
"4410",215,"yes","yes","b12","1",10,-13,-39,17,12,3,1,0
"4411",215,"yes","yes","b12","1",11,-17,-41,18,7,3,1,0
"4412",215,"yes","yes","b12","1",12,-23,-29,20,12,4,0,1
"4413",215,"yes","yes","b12","1",13,-19,-19,18,8,1,0,1
"4414",215,"yes","yes","b12","1",14,-32,-37,7,11,2,0,1
"4415",215,"yes","yes","b12","1",15,-18,-35,11,2,3,1,1
"4416",215,"yes","yes","b12","1",16,-26,-36,1,5,4,1,1
"4417",215,"yes","yes","b12","1",17,-29,-28,16,5,3,1,1
"4418",215,"yes","yes","b12","1",18,-25,-31,13,6,3,1,0
"4419",215,"yes","yes","b12","1",19,-19,-30,9,5,3,1,0
"4420",215,"yes","yes","b12","1",20,-22,-26,22,4,3,1,0
"4421",215,"yes","yes","b12","1",21,-25,-28,14,2,3,1,0
"4422",215,"yes","yes","b12","1",22,-22,-35,23,0,4,0,1
"4423",215,"yes","yes","b12","1",23,-27,-20,24,-2,3,1,1
"4424",215,"yes","yes","b12","1",24,-29,-22,9,1,3,1,0
"4425",215,"yes","yes","b12","1",25,-36,-27,10,1,3,1,0
"4426",215,"yes","yes","b12","1",26,-35,-25,12,6,3,1,0
"4427",215,"yes","yes","b12","1",27,-38,-26,7,16,3,0,0
"4428",215,"yes","yes","b12","1",28,-38,-16,-1,18,3,0,0
"4429",215,"yes","yes","b12","1",29,-41,-17,-5,9,1,0,1
"4430",215,"yes","yes","b12","1",30,-45,-14,-13,22,2,0,1
"4431",215,"yes","yes","b12","1",31,-47,-13,-19,18,3,0,1
"4432",215,"yes","yes","b12","1",32,-34,-12,-18,22,4,1,1
"4433",215,"yes","yes","b12","1",33,-31,-15,-23,17,4,1,0
"4434",215,"yes","yes","b12","1",34,-36,-2,-22,14,4,1,0
"4435",215,"yes","yes","b12","1",35,-29,-1,-18,19,4,1,0
"4436",215,"yes","yes","b12","1",36,-27,-12,-18,8,4,1,0
"4437",215,"yes","yes","b12","1",37,-32,-8,-28,3,4,1,0
"4438",215,"yes","yes","b12","1",38,-38,-9,-30,6,1,0,1
"4439",215,"yes","yes","b12","1",39,-42,-8,-20,10,0,0,1
"4440",215,"yes","yes","b12","1",40,-47,-2,-21,16,2,0,1
"4441",215,"yes","yes","b12","1",41,-43,-4,-17,12,4,1,1
"4442",215,"yes","yes","b12","1",42,-62,-12,-17,2,4,1,0
